journal	source_sample_records	frames_present_records	frameReset_nonzero_records	frameReset_zero_records	resets_total	liveness
kernel00-K00-027b1612-1789564074.jsonl	15	15	0	15	0	LIVE
kernel00-K00-0a33dc6c-1789563891.jsonl	15	15	0	15	0	LIVE
kernel00-K00-118192c7-1789563681.jsonl	15	15	0	15	0	LIVE
kernel00-K00-120784a1-1789563740.jsonl	15	15	0	15	0	LIVE
kernel00-K00-13da5924-1789563323.jsonl	15	15	0	15	0	LIVE
kernel00-K00-1caab4df-1789563558.jsonl	15	15	0	15	0	LIVE
kernel00-K00-1cf13ea6-1789564104.jsonl	15	15	0	15	0	LIVE
kernel00-K00-214b7f6a-1789563861.jsonl	15	15	0	15	0	LIVE
kernel00-K00-23b4f1cf-1789563830.jsonl	15	15	0	15	0	LIVE
kernel00-K00-283ae33f-1789564043.jsonl	15	15	0	15	0	LIVE
kernel00-K00-28b9dfd6-1789563951.jsonl	15	15	0	15	0	LIVE
kernel00-K00-36d0dc12-1789563982.jsonl	15	15	0	15	0	LIVE
kernel00-K00-40708c5a-1789564197.jsonl	15	15	0	15	0	LIVE
kernel00-K00-61d72441-1789563651.jsonl	15	15	0	15	0	LIVE
kernel00-K00-7227c5f4-1789563800.jsonl	15	15	0	15	0	LIVE
kernel00-K00-7ebedf83-1789563382.jsonl	15	15	0	15	0	LIVE
kernel00-K00-887bf485-1789563499.jsonl	15	15	0	15	0	LIVE
kernel00-K00-8bc33887-1789563352.jsonl	15	15	0	15	0	LIVE
kernel00-K00-8d45085a-1789564166.jsonl	15	15	0	15	0	LIVE
kernel00-K00-8ed5b591-1789563470.jsonl	15	15	0	15	0	LIVE
kernel00-K00-98e946bd-1789563770.jsonl	15	15	0	15	0	LIVE
kernel00-K00-9e6a46c9-1789563411.jsonl	15	15	0	15	0	LIVE
kernel00-K00-a460bad7-1789563921.jsonl	15	15	0	15	0	LIVE
kernel00-K00-ae79df89-1789564135.jsonl	15	15	0	15	0	LIVE
kernel00-K00-c0f09cc6-1789563528.jsonl	15	15	0	15	0	LIVE
kernel00-K00-d18848dd-1789563588.jsonl	15	15	0	15	0	LIVE
kernel00-K00-d81b4eac-1789563440.jsonl	15	15	0	15	0	LIVE
kernel00-K00-db5dc9a2-1789563620.jsonl	18	18	0	18	0	LIVE
kernel00-K00-fa762bac-1789564012.jsonl	15	15	0	15	0	LIVE
kernel00-K00-fd3f0ceb-1789563711.jsonl	15	15	0	15	0	LIVE
