sample	10
fixture	/private/tmp/sid-source-03-f67575797353bf7e97ffb319a45357997c8d564d-20260916T151404Z/scripts/witness/fixtures/k00-sid-nearend-997hz-gated-2hz-180s.wav
fixtureSha256	30d51cf4b7527d28131bd9c2535c6bd4dcd2403c8dc0343fc045f6f6959875eb
afplay	/usr/bin/afplay
afplaySha256	88f3b577790877524edc79a20de8838a019c0ca723a0eaa4a8612a860317cabb
afplayVolume	0.50
afplaySeconds	180
pid	93327
startEpoch	1789572008
preRunState	1789572009	alive
liveness	1789572010	alive
liveness	1789572011	alive
liveness	1789572012	alive
liveness	1789572013	alive
liveness	1789572014	alive
liveness	1789572015	alive
liveness	1789572016	alive
liveness	1789572017	alive
liveness	1789572018	alive
liveness	1789572019	alive
liveness	1789572020	alive
liveness	1789572021	alive
liveness	1789572022	alive
liveness	1789572023	alive
liveness	1789572024	alive
liveness	1789572025	alive
liveness	1789572026	alive
liveness	1789572027	alive
liveness	1789572028	alive
liveness	1789572029	alive
liveness	1789572030	alive
liveness	1789572031	alive
liveness	1789572032	alive
liveness	1789572033	alive
liveness	1789572034	alive
liveness	1789572035	alive
liveness	1789572036	alive
liveness	1789572037	alive
liveness	1789572038	alive
liveness	1789572039	alive
liveness	1789572040	alive
postRunState	1789572041	alive
stopRequestedEpoch	1789572041
waitExitStatus	143
stopEpoch	1789572041
custody	VALID
