$ sh -c pmset -g log | grep -E "Sleep|Wake|DarkWake|Display is turned|Notification" | tail -400
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16860.preventuseridledisplaysleep" 00:01:30  id:0x0x500009a8d [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16860.preventuseridlesleep" 00:01:30  id:0x0x100009a8c [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16861.preventuseridledisplaysleep" 00:01:30  id:0x0x500009a8f [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16861.preventuseridlesleep" 00:01:30  id:0x0x100009a8e [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16862.preventuseridledisplaysleep" 00:01:30  id:0x0x500009a91 [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16862.preventuseridlesleep" 00:01:30  id:0x0x100009a90 [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16863.preventuseridledisplaysleep" 00:01:30  id:0x0x500009a93 [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16863.preventuseridlesleep" 00:01:30  id:0x0x100009a92 [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context16864.preventuseridledisplaysleep" 00:01:30  id:0x0x500009a95 [System: PrevIdle]          
2026-09-15 02:37:33 -0400 Assertions          	PID 428(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context16864.preventuseridlesleep" 00:01:30  id:0x0x100009a94 [System: PrevIdle]          
2026-09-15 02:37:34 -0400 Assertions          	PID 61826(backupd-helper) Summary PreventUserIdleSystemSleep "Mutexed Backup Block" 00:00:20  id:0x0x100009e1a [System: PrevIdle]          
2026-09-15 02:37:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 09:06:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 02:37:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 13:13:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 02:37:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 90:03:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 02:37:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 127:16:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 02:37:44 -0400 Assertions          	PID 61826(backupd-helper) Released PreventUserIdleSystemSleep "Mutexed Backup Block" 00:00:30  id:0x0x100009e1a [System: PrevIdle]          
2026-09-15 02:42:23 -0400 Assertions          	PID 27374(AddressBookSourceSync) Released PreventUserIdleSystemSleep "Address Book Source Sync" 00:00:30  id:0x0x1000082de [System: PrevIdle]          
2026-09-15 02:50:33 -0400 Assertions          	PID 551(backupd) Released PreventUserIdleSystemSleep "Backup Job" 00:12:49  id:0x0x100009f72 [System: PrevIdle]          
2026-09-15 02:52:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 09:21:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 02:52:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 13:28:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 02:52:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 90:18:12  id:0x0x10000a509 [System: PrevIdle]          
2026-09-15 02:52:34 -0400 Assertions          	PID 91023(caffeinate) Summary PreventUserIdleSystemSleep "caffeinate command-line tool" 127:31:43 id:0x0x1000089f7 [System: PrevIdle]          
2026-09-15 03:07:34 -0400 Assertions          	PID 60391(Claude) Summary NoIdleSleepAssertion "Electron" 09:36:53  id:0x0x1000089ba [System: PrevIdle]          
2026-09-15 03:07:34 -0400 Assertions          	PID 428(coreaudiod) Summary PreventUserIdleSystemSleep "com.apple.audio.11-22-33-44-66-D5:output.context.preventuseridlesleep" 13:43:50  id:0x0x100008f48 [System: PrevIdle]          
2026-09-15 03:07:34 -0400 Assertions          	PID 657(sharingd) Summary PreventUserIdleSystemSleep "AirDrop" 90:33:12  id:0x0x10000a509 [System: PrevIdle]          
